List of ingredients,Recipe Name,Time Required (minutes),Style,Recipe (How to Make),Protein (g),Carbohydrates (g),Fats (g),Sides
"Sweet Potato, Coconut, Jaggery",Sweet Potato Halwa,25,Indian,"Boiled and mashed sweet potatoes are Sauteed in ghee, then cooked with sugar, cardamom, and a splash of milk until it thickens. Garnished with chopped nuts and raisins for a rich, aromatic dessert.",4.1,49,9,Tea
"Sago, Peanuts, Potatoes, Green Chilies",Sabudana Khichdi,30,Maharashtrian,"Soaked sabudana is drained well and cooked with tempered cumin, green chilies, boiled potatoes, crushed peanuts, and salt, resulting in a chewy, nutty, and lightly spiced dish often enjoyed during fasting.",22,19,3,Soft Drink
"Moong Dal, Green Chili, Spices",Moong Dal Chilla,20,North Indian,"A batter is made by grinding soaked moong dal with ginger, green chilies, and cumin, then spread thin on a tawa, topped with chopped onions and coriander, and cooked until golden and crisp.",14.8,27,3,Milkshake
"Barnyard Millet, Curd, Spices",Sama Rice Khichdi,30,Indian,"Little millet is cooked along with moong dal, ginger, and green chilies in ghee, seasoned lightly with cumin and rock salt, making a light and nutritious fasting dish.",7.3,24,4,Soft Drink
"Black Rice, Coconut, Jaggery",Chak Hao Kheer,40,Manipuri,"Black rice is cooked until tender, then simmered in milk and sweetened with sugar or jaggery. Cardamom and nuts are added for fragrance and texture, giving it a beautiful purple hue.",5.9,28,3,Kulfi
"Tapioca, Coconut, Jaggery",Kappa Puzhukku,35,Kerala,"Tapioca is peeled, chopped, and boiled until soft, then mashed and mixed with grated coconut, green chilies, and garlic paste, seasoned with mustard seeds and curry leaves.",19.3,15,6,Fruit Juice
"Sprouts, Tomatoes, Onion, Lemon",Sprouts Chaat,15,Indian,"Sprouted moong and other beans are tossed with finely chopped onions, tomatoes, green chilies, lemon juice, and chaat masala, offering a crunchy and tangy snack.",16,25,7,Soft Drink
"Chickpea Flour, Spices, Water, Oil",Pakora,20,North Indian,"Besan is mixed with water and spices like turmeric, chili, and cumin to form a thick batter. Vegetables such as onions, potatoes, or spinach are dipped into the batter and deep-fried until crisp and golden.",16.7,19,3,Milkshake
"Potatoes, Spices, Oil, Cornflour",Aloo Tikki,25,North Indian,"Boiled potatoes are mashed and mixed with spices, coriander, and bread crumbs. Shaped into patties, they are shallow-fried until crisp on the outside and soft within.",19.9,29,4,Fruit Juice
"Poha, Onion, Spices, Oil",Poha Cutlet,30,Indian,"Flattened rice is soaked and combined with mashed potatoes, onions, chilies, and spices. Shaped into cutlets and shallow-fried to golden perfection.",6.8,24,5,Fruit Juice
"Bread, Potatoes, Spices, Oil",Bread Roll,20,North Indian,"Spiced potato stuffing is rolled inside dampened bread slices, sealed, and deep-fried until crispy and golden.",16.5,18,6,Soft Drink
"Gram Flour, Sugar, Ghee",Mysore Pak,30,South Indian,"Besan is roasted in ghee until aromatic, then mixed with a sugar syrup cooked to a one-string consistency. Stirred continuously with more ghee until it forms a porous texture and is set into squares.",16.9,22,3,Soft Drink
"Green Gram, Spices, Oil",Moong Dal Chaat,15,Indian,"Boiled moong dal is mixed with chopped onions, tomatoes, green chilies, coriander, lemon juice, and chaat masala, creating a protein-rich, tangy salad.",26.2,23,3,Milkshake
"Sago, Peanuts, Green Chili, Potato",Sabudana Vada,30,Maharashtrian,"Soaked sabudana is mixed with mashed potatoes, crushed peanuts, green chilies, and coriander, shaped into patties, and deep-fried until crispy outside and soft inside.",26,25,5,Kulfi
"Corn, Butter, Chili Powder, Lemon",Masala Corn,10,Indian,"Boiled corn kernels are tossed with butter, chaat masala, chili powder, lemon juice, and salt for a quick and spicy snack.",28.6,31,13,Sweet Lassi
"Flour, Baking Powder, Butter, Sugar",Nankhatai,25,Indian,"A dough is made from flour, sugar, ghee, and a touch of cardamom. Shaped into small round cookies, they are baked until light and crumbly.",8.9,20,5,Milkshake
"Semolina, Coconut, Sugar, Cardamom",Rava Ladoo,20,South Indian,"Roasted semolina is mixed with ghee, sugar, grated coconut, and cardamom, then shaped into balls while still warm.",12.6,27,6,Milkshake
"Raw Banana, Spices, Oil",Banana Chips,25,Kerala,"Raw bananas are thinly sliced, soaked in salted water, and deep-fried in coconut oil until crisp, then lightly salted.",15.6,23,5,Kulfi
"Rice Flour, Butter, Cumin, Salt",Murukku,40,South Indian,"Rice flour and urad dal flour are combined with sesame seeds, cumin, butter, and salt, kneaded into a dough, and pressed through a mold into hot oil, fried until crisp and golden.",20.1,17,4,Soft Drink
"Gram Flour, Yogurt, Spices",Khandvi,30,Gujarati,"Gram flour is cooked with buttermilk, turmeric, and spices to a smooth, thick consistency. Spread thinly, cut into strips, and rolled up, garnished with mustard seeds, coconut, and coriander.",18.6,18,5,Milkshake
"Chickpeas, Tamarind, Spices, Sev",Chana Chaat,20,Indian,"Boiled chickpeas are mixed with onions, tomatoes, green chilies, tamarind chutney, and chaat masala, creating a tangy, spicy, and savory snack.",17.2,17,4,Kulfi
"Rice Flour, Coconut, Sugar, Jaggery",Modak,35,Maharashtrian,"Rice flour dough is prepared with hot water and ghee. It is filled with a mixture of grated coconut, jaggery, and cardamom, then shaped into dumplings and steamed.",20.2,23,5,Soft Drink
"Masoor Dal, Rice, Onion, Spices",Masoor Dal Pakora,25,Bengali,"Soaked and ground masoor dal is combined with onions, green chilies, coriander, and spices. Small portions are dropped into hot oil and deep-fried until crispy.",6.7,15,7,Milkshake
"Gram Flour, Carom Seeds, Spices",Besan Sev,30,Rajasthani,"Gram flour is kneaded with water, turmeric, chili powder, and a bit of oil. Pressed through a sev maker and deep-fried until crisp and golden.",5.3,21,7,Soft Drink
"Peanuts, Jaggery",Chikki,20,Maharashtrian,"Jaggery is melted until it bubbles, mixed quickly with roasted peanuts, and spread on a greased surface. Flattened and cut into squares before it hardens.",4.2,23,4,Milkshake
"Sweet Potatoes, Jaggery, Coconut",Sweet Potato Chaat,15,Indian,"Boiled and cubed sweet potatoes are mixed with finely chopped onions, tomatoes, green chilies, chaat masala, and lemon juice, then garnished with fresh coriander and pomegranate seeds for a sweet, spicy, and tangy snack.",27.3,41,7,Tea
"Maida, Sugar, Ghee, Cardamom",Shakarpara,30,North Indian,"A dough made from flour, sugar, and ghee is rolled out, cut into small diamond shapes, and deep-fried until crisp and golden, resulting in a mildly sweet, crunchy treat.",24.5,18,5,Soft Drink
"Rice, Urad Dal, Spices",Masala Paniyaram,25,South Indian,"Fermented idli batter is seasoned with mustard seeds, curry leaves, green chilies, and chopped onions, then poured into special paniyaram molds and cooked until crisp outside and soft inside.",29.8,39,13,Gulab Jamun
"Cornflour, Paneer, Capsicum, Soy Sauce",Chilli Paneer,30,Indo-Chinese,"Paneer cubes are coated in cornflour and shallow-fried, then tossed in a sauce made from soy sauce, chili sauce, vinegar, garlic, and capsicum, creating a spicy, tangy Indo-Chinese delight.",6.2,18,5,Kulfi
"Flattened Rice, Peanuts, Spices, Oil",Chivda,20,Indian,"Thin poha is roasted with peanuts, curry leaves, green chilies, and spices like turmeric and salt, giving a light and crispy snack with a hint of spice.",10.4,27,6,Soft Drink
"Maida, Butter, Cumin Seeds",Mathri,30,Rajasthani,"A dough made with flour, semolina, carom seeds, and ghee is rolled into small discs and deep-fried slowly until crispy, making a savory tea-time snack.",15.8,19,4,Kulfi
"Lentils, Rice, Spices",Dal Vada,30,South Indian,"Soaked and ground chana dal is mixed with chopped onions, green chilies, and curry leaves, shaped into patties, and deep-fried to achieve a crisp, golden-brown texture.",24.6,22,7,Kulfi
"Sprouts, Onion, Tomatoes, Sev",Sprouts Bhel,15,Indian,"Sprouted beans are tossed with puffed rice, onions, tomatoes, sev, tamarind chutney, and chaat masala, giving a crunchy, tangy",20.5,26,5,Kulfi
"Gram Flour, Yogurt, Mustard Seeds",Dhokla,30,Gujarati,"A batter made from gram flour, curd, and spices is steamed to a soft, fluffy texture, then tempered with mustard seeds, green chilies, and curry leaves, and garnished with coriander and grated coconut.",29,15,6,Kulfi
"Raw Mango, Jaggery, Chili Powder",Aam Panna,20,Indian,"Raw mangoes are boiled and blended with sugar, roasted cumin, black salt, and mint leaves to make a cooling, sweet, and tangy summer drink.",15.6,23,4,Kulfi
"Chickpea Flour, Spices, Water, Oil",Onion Bhajiya,20,Indian,"Sliced onions are mixed with gram flour, chili powder, and ajwain, then deep-fried in small clusters until crispy and golden, making a crunchy and spicy fritter.",18.8,25,5,Cold Coffee
"Chickpea Flour, Yogurt, Spices",Besan Chilla,15,North Indian,"A batter of gram flour, water, onions, chilies, and coriander is spread on a hot tawa and cooked until golden brown, resulting in a savory, protein-rich pancake.",13,15,3,Milkshake
"Chickpea Flour, Potatoes, Spices",Aloo Pakora,20,North Indian,"Potato slices are coated in a spiced gram flour batter and deep-fried until crisp, offering a hot and crunchy tea-time snack.",29.8,20,6,Kulfi
"Rice, Black Gram, Spices",Medu Vada,30,South Indian,"A batter made from soaked urad dal is whipped to a fluffy consistency, seasoned with spices, and shaped into doughnuts, then deep-fried to perfection, served with coconut chutney and sambar.",4.9,19,7,Fruit Juice
"Potatoes, Spices, Flour",Masala French Fries,25,Indian,"Potatoes are cut into fries, deep-fried until crisp, then tossed with red chili powder, chaat masala, and salt for a spicy twist on the classic fries.",22.4,35,8,Gulab Jamun
"Corn, Rice Flour, Butter, Spices",Corn Fritters,20,Indian,"Sweet corn kernels are mixed with flour, spices, and herbs, shaped into small balls, and deep-fried to a golden crisp, offering a sweet and spicy snack.",6.8,23,4,Soft Drink
"Sago, Peanuts, Potatoes, Spices",Sabudana Khichdi,25,Maharashtrian,"Soaked sabudana is Sauteed with cumin, boiled potatoes, green chilies, and crushed peanuts, creating a chewy and mildly spiced fasting dish.",5,22,7,Fruit Juice
"Sago, Peanuts, Potatoes, Spices",Sabudana Tikki,30,Indian,"A mixture of soaked sabudana, boiled potatoes, green chilies, and peanuts is shaped into patties and shallow-fried to a crispy golden brown.",27.9,17,4,Milkshake
"Sago, Peanuts, Spices",Sabudana Papad,40,Indian,"Soaked sabudana is cooked in water until sticky, seasoned lightly, and spread on plastic sheets to sun-dry, resulting in translucent papads that are deep-fried before serving.",8.9,28,3,Milkshake
"Paneer, Capsicum, Onion, Soy Sauce",Paneer Manchurian,30,Indo-Chinese,"Paneer cubes are batter-fried and then tossed in a thick sauce made of soy sauce, garlic, chilies, and capsicum, giving a spicy and savory Indo-Chinese flavor.",28.8,26,3,Fruit Juice
"Paneer, Cornflour, Spices",Paneer Popcorn,25,Indian,"Small paneer cubes are coated in seasoned flour, dipped in batter, rolled in breadcrumbs, and deep-fried until crisp, resembling popcorn in texture.",7.5,22,6,Fruit Juice
"Bread, Butter, Garlic, Herbs",Garlic Bread,20,Continental,"Bread slices are slathered with a mixture of butter, garlic, and herbs, then toasted until crisp and golden, resulting in a fragrant and buttery appetizer.",17.7,26,5,Milkshake
"Bread, Vegetables, Cheese",Veg Bread Pizza,25,Indo-Italian,"Bread slices are topped with pizza sauce, chopped vegetables, cheese, and herbs, then baked until the cheese melts and the bread is crisp.",17.1,17,3,Kulfi
"Bread, Potatoes, Spices",Masala Bread Upma,20,South Indian,"Bread cubes are stir-fried with mustard seeds, onions, tomatoes, green chilies, and spices, giving a quick and flavorful breakfast dish.",5,35,8,Mango Lassi
"Rice, Black Gram, Spices",Kuzhi Paniyaram,30,South Indian,"Fermented rice and urad dal batter is seasoned and poured into paniyaram molds, cooked until crisp outside and soft inside, served with chutney.",23.1,22,6,Fruit Juice
"Flour, Butter, Sugar, Cardamom",Naan Khatai,25,Indian,"A dough of flour, sugar, ghee, and cardamom is formed into cookies and baked to create a crumbly, melt-in-the-mouth sweet snack.",6.6,27,4,Milkshake
"Chickpeas, Yogurt, Chutney, Spices",Chole Chaat,20,Indian,"Boiled chickpeas are mixed with chopped onions, tomatoes, green chilies, tamarind chutney, and spices, garnished with sev and coriander for a spicy, tangy street food dish.",23.5,29,7,Soft Drink
"Sweet Corn, Cheese, Butter, Herbs",Cheese Corn Balls,30,Indian,"Sweet corn, grated cheese, mashed potatoes, and spices are mixed, rolled into balls, coated with bread crumbs, and deep-fried to a crisp, gooey snack.",12.9,20,7,Soft Drink
"Gram Flour, Yogurt, Mustard Seeds",Instant Dhokla,20,Gujarati,"Gram flour, curd, and baking soda are mixed into a batter, steamed until fluffy, and tempered with mustard seeds, green chilies, and curry leaves.",11.9,15,4,Milkshake
"Rice, Lentils, Coconut",Adai,30,South Indian,"A batter made from a mix of dals and rice is seasoned with spices and spread on a tawa, cooked until crispy, making a protein-rich dosa variant.",6.6,16,4,Kulfi
"Ripe Bananas, Flour, Sugar",Banana Bajji,20,South Indian,"Banana slices are dipped in a spiced gram flour batter and deep-fried, creating a crispy, slightly sweet snack.",17.6,22,4,Soft Drink
"Raw Mango, Sugar, Black Salt",Mango Chaat,15,Indian,"Ripe mango cubes are tossed with chopped onions, chilies, mint, chaat masala, and lemon juice for a sweet and tangy salad.",6.4,23,7,Kulfi
"Potatoes, Yogurt, Spices",Dahi Aloo Chaat,20,Indian,"Boiled potatoes are mixed with yogurt, tamarind chutney, roasted cumin, and chaat masala, topped with sev and coriander for a cool, tangy dish.",8.1,21,3,Milkshake
"Flattened Rice, Peanuts, Chutneys",Poha Bhel,15,Indian,"Flattened rice is mixed with chopped onions, tomatoes, green chilies, peanuts, and sev, seasoned with lemon juice and chaat masala for a crunchy snack.",8.1,25,5,Fruit Juice
"Rice, Lentils, Butter",Butter Dosa,30,South Indian,"A thin layer of fermented dosa batter is spread on a hot tawa, cooked with butter until crisp and golden, served with chutney and sambar.",10.7,20,4,Kulfi
"Chickpea Flour, Sugar, Ghee",Magas,25,Gujarati,"Besan is roasted slowly in ghee until aromatic, mixed with sugar and cardamom, then pressed into a tray and cut into squares, giving a rich and crumbly sweet.",22,16,4,Kulfi
"Gram Flour, Sugar Syrup",Boondi,25,Rajasthani,"Gram flour batter is dropped through a sieve into hot oil to form tiny round droplets, fried until crisp, and used in sweets like ladoo or served salted as a snack.",20.4,22,4,Kulfi
"Chickpea Flour, Yogurt, Spices",Besan Pitla,20,Maharashtrian,"Cook besan (gram flour) with water, spices, and tempering of mustard seeds, curry leaves, and green chilies until thick.",19.9,23,6,Fruit Juice
"Flour, Yogurt, Sugar",Balushahi,35,North Indian,"Start by combining all-purpose flour, baking soda, and a pinch of salt in a bowl. Add ghee and mix until it resembles crumbs. Gradually add water to form a soft dough. Let it rest for 30 minutes. Make small dough balls and press slightly in the center. Heat ghee in a deep pan and fry the balushahi on low heat until golden and crisp. Dip the fried balushahi in sugar syrup flavored with cardamom and saffron. Let them soak for a few minutes before serving.",23.7,28,4,Milkshake
"Semolina, Sugar, Ghee",Rava Kesari,25,South Indian,"Heat ghee in a pan, roast cashews and raisins, and set aside. Add semolina (rava) and roast until aromatic. Pour in hot water while stirring continuously. Once the semolina absorbs water, add sugar and mix well. Stir in saffron-soaked milk for color and flavor. Cook until it thickens. Add cardamom powder, fried nuts, and raisins. Mix well and serve warm.",12.7,17,4,Milkshake
"Peanuts, Garlic, Spices",Masala Peanuts,20,Indian," Mix besan (gram flour), rice flour, red chili powder, turmeric, salt, garam masala, and a pinch of baking soda. Add water little by little to form a thick batter. Toss raw peanuts in the batter until well-coated. Heat oil in a pan and deep-fry the peanuts until crisp and golden. Drain excess oil and sprinkle chaat masala before serving.",18.9,39,11,Mango Lassi
"Rice, Jaggery, Coconut",Sweet Pongal,30,South Indian," Roast moong dal in a pan until fragrant. Add washed rice and cook together with water until soft. In another pan, melt jaggery with a little water and strain to remove impurities. Add the jaggery syrup to the cooked rice and dal mixture. Stir in ghee, cardamom powder, and roasted cashews and raisins. Mix thoroughly and cook for a few minutes until everything blends well. Serve warm.",14.1,16,3,Milkshake
"Flour, Butter, Spices",Khari Biscuit,30,Indian,"Mix all-purpose flour and salt in a bowl. Add cold butter and rub it into the flour until crumbly. Add cold water gradually and form a dough. Chill the dough for 30 minutes. Roll it out and fold it like a book. Repeat this process 3-4 times to create layers. Finally, roll and cut into rectangles. Bake at 180 degree() for 12-15 minutes until crisp and golden.",13.2,26,6,Soft Drink
"Chickpea Flour, Spices, Oil",Sev Puri,15,Indian,"Arrange small puris on a plate. Top each with boiled, cubed potatoes, chopped onions, and tomatoes. Sprinkle chaat masala, cumin powder, and salt. Drizzle tamarind chutney and green chutney over it. Add nylon sev generously and garnish with coriander leaves. Serve immediately.",19.3,29,3,Kulfi
"Sweet Potato, Jaggery, Cardamom",Sweet Potato Halwa,25,Indian,"Boil and peel sweet potatoes. Mash them well. Heat ghee in a pan, add the mashed sweet potatoes, and cook on low flame. Add sugar and stir continuously until it dissolves. Add cardamom powder, milk, and a few strands of saffron. Cook until the mixture thickens. Garnish with chopped nuts before serving.",21.5,41,11,Lemonade
"Yogurt, Gram Flour, Spices",Kadhi Pakora,40,North Indian,"Mix gram flour, salt, red chili powder, and chopped onions with water to make a thick batter. Fry small spoonfuls of this batter into pakoras. For kadhi, whisk yogurt with gram flour, turmeric, and water. Heat oil, add mustard seeds, cumin, curry leaves, and dried red chilies. Pour in the yogurt mixture and bring to a boil. Simmer until it thickens. Add the fried pakoras and cook for a few minutes. Serve hot with rice.",6.3,23,4,Soft Drink
"Rice, Coconut, Jaggery",Kozhukattai,35,Tamil Nadu,"Mix rice flour with hot water and a pinch of salt to make a smooth dough. For the filling, melt jaggery with water, add grated coconut, and cardamom powder. Stir until it thickens. Make small balls from the dough, flatten them, and fill with the coconut mixture. Seal and shape like modaks. Steam for 10-12 minutes until cooked.",8,23,5,Soft Drink
"Black Lentils, Spices, Oil",Urad Dal Kachori,40,North Indian,"Soak urad dal for 4-5 hours, then grind coarsely. Heat oil, add cumin, ginger, green chilies, and the dal paste. Cook with salt and spices like coriander and fennel powder until dry. For the dough, mix all-purpose flour, salt, and ghee. Add water and knead into a stiff dough. Roll into small discs, fill with dal mixture, and seal. Deep-fry on medium heat until golden brown and crispy.",14.6,28,4,Fruit Juice
"Milk, Rice, Sugar, Cardamom, Nuts",Kheer,45,North Indian,Boil milk in a heavy-bottomed pan. Add washed basmati rice and cook on low heat until rice is soft. Stir occasionally to avoid sticking. Add sugar and cardamom powder. Cook until it thickens. Add chopped nuts and raisins. Stir in a few strands of saffron soaked in warm milk. Serve warm or chilled.,3.9,21,7,Milkshake
"Semolina, Sugar, Ghee, Cardamom",Sooji Halwa,25,North Indian,"Heat ghee in a pan, add semolina, and roast until golden and fragrant. Boil water separately with sugar and cardamom. Pour this sugar syrup into roasted semolina slowly, stirring continuously. Cook until the mixture thickens. Add nuts and raisins. Serve hot.",23.2,28,6,Milkshake
"Wheat Flour, Jaggery, Ghee",Atta Ladoo,30,Indian,"Roast whole wheat flour in ghee on low heat until aromatic. Add powdered sugar, cardamom powder, and chopped nuts. Mix well. Shape into small ladoos while the mixture is warm.",6.5,15,7,Milkshake
"Chickpea Flour, Sugar, Ghee",Mysore Pak,35,South Indian,"Heat ghee in a pan. Mix gram flour and ghee to make a smooth paste. In another pan, boil sugar with water until it reaches one-string consistency. Add the gram flour paste gradually while stirring continuously. Cook until it thickens and ghee separates. Pour into a greased tray and cut into pieces.",27.5,18,7,Kulfi
"Milk, Sugar, Paneer",Rasgulla,50,Bengali,Boil milk and curdle it with lemon juice. Drain and wash the chenna. Knead until smooth. Make small balls. Boil sugar and water to make syrup. Add chenna balls and cook for 15-20 minutes. Cool and serve.,7.9,18,6,Milkshake
"Rice, Jaggery, Coconut",Payasam,40,South Indian,"Boil milk and add washed rice. Cook on low heat until rice is soft. Add sugar, cardamom, and nuts. Stir occasionally. Add ghee and saffron. Serve warm.",22.3,22,4,Milkshake
"Flour, Sugar, Butter, Dry Fruits",Christmas Cake,60,Western,"Cream butter and sugar. Add eggs, flour, baking powder, and spices. Mix soaked dry fruits and nuts. Bake at 160 degree() for 1 hour. Cool and serve.",15.2,26,4,Fruit Juice
"Milk, Condensed Milk, Nuts",Rabri,50,North Indian,"Boil milk on low heat until thick. Stir frequently. Add sugar, cardamom, and nuts. Stir well. Serve chilled.",13,24,6,Kulfi
"Black Lentils, Jaggery, Coconut",Paniyaram Sweet,30,South Indian,"Mix rice flour, jaggery syrup, grated coconut, and cardamom. Pour batter into paniyaram pan and cook until golden.",19.8,17,6,Milkshake
"Rice, Jaggery, Cardamom",Pithe,45,Bengali, Make dough with rice flour. Stuff with coconut and jaggery. Steam or fry. Serve warm.,19.2,17,7,Kulfi
"Ginger, Lemon, Honey, Hot Water",Ginger Lemon Tea,10,Herbal,"Boil water with ginger. Add tea leaves, lemon juice, and honey. Simmer and strain.",16.2,25,3,Kulfi
"Turmeric, Milk, Pepper, Honey",Golden Milk,15,Ayurvedic,"Simmer milk with turmeric, black pepper, ginger, honey, serve warm.",20.1,28,5,Kulfi
"Basil, Honey, Green Tea",Basil Herbal Tea,15,Indian,"Boil water with basil leaves, ginger, honey, and lemon, strain and serve.",28.6,18,7,Fruit Juice
"Apple, Cinnamon, Hot Water",Warm Apple Cider,20,Western,"Simmer apple juice with cinnamon, cloves, and orange slices, serve warm.",10.9,19,4,Fruit Juice
"Carrot, Beetroot, Ginger, Lemon",Spiced Carrot Juice,10,Indian,"Blend carrots, orange, ginger, and spices, strain, serve chilled.",24,27,7,Soft Drink
"Coffee Powder, Milk, Sugar",Filter Coffee,15,South Indian,"Brew ground coffee with filter, mix with hot milk and sugar.",8.3,23,3,Fruit Juice
"Cocoa, Milk, Sugar",Hot Chocolate,15,Western,"Melt cocoa, sugar, and milk, whisk until smooth, top with whipped cream",20.8,21,5,Soft Drink
"Tea Leaves, Spices, Milk, Sugar",Masala Chai,20,Indian,"Boil water with tea leaves, spices, milk, and sugar, strain and serve.",12,35,9,Mango Lassi
"Green Tea, Mint, Lemon",Mint Detox Tea,10,Herbal,"Boil water with mint, ginger, and lemon, strain, serve warm.",21.8,25,5,Kulfi
"Almonds, Saffron, Milk",Badam Milk,20,Indian,"Blend almonds, milk, sugar, cardamom, and saffron, simmer and serve warm.",16.9,28,6,Kulfi
"Tomatoes, Garlic, Basil, Pepper",Tomatoes Soup,30,Western,"Saute onions, garlic, and tomatoes. Blend and strain. Simmer with spices and cream.",4.5,32,7,Cold Coffee
"Carrots, Ginger, Onions, Spices",Carrot Ginger Soup,35,Continental,"Cook carrots, ginger, onions, blend, season, serve hot.",10.9,16,6,Kulfi
"Chicken, Pepper, Ginger, Garlic",Chicken Clear Soup,40,Indo-Chinese,"Simmer chicken, garlic, ginger, vegetables, strain broth, season, serve",26.1,27,7,Fruit Juice
"Corn, Garlic, Soy Sauce, Cornstarch",Sweet Corn Soup,30,Chinese,"Cook sweet corn, onions, garlic, add broth, season, thicken with cornflour.",28.3,23,5,Fruit Juice
"Mushrooms, Milk, Cream",Cream of Mushroom Soup,30,Continental,"Saute mushrooms, onions, and garlic. Blend with cream and simmer.",27.5,27,4,Kulfi
"Lentils, Tomatoes, Garlic, Spices",Dal Soup,40,Indian,"Pressure cook lentils, tomatoes, onions, blend, temper, season, serve hot.",10.3,23,7,Fruit Juice
"Mixed Vegetables, Cornflour, Pepper",Hot and Sour Soup,35,Chinese,"Saute garlic, ginger, and vegetables. Add broth, vinegar, and soy sauce. Thicken with cornstarch.",9.2,27,6,Milkshake
"Spinach, Garlic, Cream",Palak Soup,30,Indian,"Heat oil in a pan, add chopped garlic and onions, and saute until soft. Add chopped spinach and cook for a few minutes. Pour in water or vegetable broth, and let it simmer. Blend the mixture until smooth. Add salt, pepper, and a dash of cream. Serve hot.",6.7,22,6,Kulfi
"Banana, Milk, Honey",Banana Smoothie,10,Western,"Blend ripe bananas, milk, honey, and a few ice cubes until smooth. Add a pinch of cinnamon for flavor. Serve chilled.",20.9,22,6,Kulfi
"Mango, Yogurt, Sugar",Mango Lassi,15,Indian,"Blend ripe mango pulp, yogurt, sugar, and a splash of milk. Add cardamom powder and a few ice cubes. Blend until smooth. Serve chilled.",18.9,22,3,Milkshake
"Orange, Pineapple, Ginger",Citrus Punch,10,Tropical,"Mix fresh orange juice, lemon juice, and pineapple juice in a pitcher. Add honey and a pinch of salt. Stir well and serve chilled with ice cubes.",15.4,24,3,Fruit Juice
"Watermelon, Mint, Lime",Watermelon Cooler,10,Indian,"Blend fresh watermelon cubes, lime juice, and mint leaves. Add sugar if needed. Serve chilled over ice.",14.6,25,7,Milkshake
"Berries, Yogurt, Honey",Berry Smoothie,15,Western,"Blend mixed berries (strawberries, blueberries, raspberries) with yogurt, honey, and a splash of milk. Serve chilled.",25.1,17,4,Fruit Juice
"Papaya, Milk, Honey",Papaya Shake,10,Indian,"Blend ripe papaya, milk, honey, and a few ice cubes until smooth. Add a pinch of cardamom powder for flavor. Serve chilled.",15,19,6,Soft Drink
"Cucumber, Lemon, Mint",Cucumber Detox Juice,10,Detox,"Blend cucumber, mint leaves, lemon juice, and a pinch of ginger. Add water if needed. Strain and serve chilled.",19.6,23,7,Fruit Juice
"Almonds, Dates, Milk",Dry Fruit Shake,15,Indian,"Soak almonds, cashews, and dates in warm milk. Blend with cold milk, honey, and a few ice cubes. Serve chilled.",22.2,19,7,Soft Drink
"Pineapple, Coconut Milk",Pina Colada,10,Tropical,"Blend pineapple juice, coconut milk, and crushed ice. Add a splash of lime juice and honey. Serve chilled.",12.9,20,7,Kulfi
"Apple, Cinnamon, Yogurt",Apple Pie Smoothie,15,Western,"Blend apple slices, yogurt, honey, and a pinch of cinnamon. Add ice cubes and blend until smooth. Serve chilled.",26.7,25,5,Kulfi
"Cheese, Flour, Herbs",Cheese Crackers,30,Western,"Mix all-purpose flour, grated cheese, butter, and salt. Knead into a dough. Roll and cut into small squares. Bake at 180(C) degrees for 12-15 minutes.",17.5,22,6,Milkshake
"Oats, Milk, Honey",Overnight Oats,10,Healthy,"Mix rolled oats, milk, yogurt, honey, and chia seeds in a jar. Add fruits like bananas or berries. Refrigerate overnight and serve cold.",6.7,22,7,Soft Drink
"Chickpeas, Lemon, Garlic",Hummus,15,Mediterranean," Blend boiled chickpeas, tahini, garlic, lemon juice, olive oil, and salt until smooth. Serve with pita bread or vegetables.",29.3,25,5,Fruit Juice
"Potatoes, Yogurt, Mint",Dahi Aloo,25,North Indian,"Heat oil, add cumin seeds and green chilies. Add boiled potato cubes and saute. Add whisked curd, salt, and turmeric. Simmer for a few minutes. Serve hot.",21.7,23,6,Soft Drink
"Lentils, Flour, Spices",Moong Dal Chilla,20,North Indian,"Soak moong dal for 3-4 hours. Grind into a batter with ginger, green chilies, and salt. Pour onto a hot pan, spread thin, and cook with oil until golden.",22.2,15,5,Soft Drink
"Rice, Lentils, Tamarind",Puli Pongal,30,South Indian,"Cook rice and lentils, mix with tamarind paste, mustard seeds, curry leaves, red chilies, and peanuts.",21.8,21,6,Kulfi
"Avocado, Tomatoes, Lime",Avocado Toast,10,Western," Mash ripe avocados with lemon juice, salt, and pepper. Spread on toasted bread. Top with cherry tomatoes and sesame seeds.",5.9,24,4,Soft Drink
"Potato, Cheese, Herbs, Breadcrumbs",Cheese Stuffed Potato Balls,30,Fusion,"Mix mashed potatoes, salt, pepper, and herbs. Make small balls, stuff with cheese cubes, and coat with breadcrumbs. Deep-fry until golden.",16,49,11,Lemonade
"Noodles, Cheese, Spices",Maggi Cheese Bites,20,Indo-Chinese,"Cook Maggi noodles and mix with cheese, herbs, and spices. Shape into small balls, coat with breadcrumbs, and deep-fry until crisp.",26.1,15,4,Fruit Juice
"Bread, Paneer, Mint Chutney",Paneer Tikka Sandwich,20,Indian,"Marinate paneer cubes in yogurt, spices, and lemon juice. Grill until golden. Assemble in bread with veggies and green chutney.",21.6,15,4,Kulfi
"Corn, Mayonnaise, Cheese, Chili Flakes",Spicy Corn Chaat,15,Indian," Mix boiled corn with chopped onions, tomatoes, green chilies, chaat masala, lemon juice, and coriander.",16.9,15,5,Vanilla Ice Cream
